date,tvl,asset_type
2022-05-05 00:00:00,66534358.7,non-ITS
2022-05-06 00:00:00,62056059.33,non-ITS
2022-05-06 00:00:00,0.0,ITS
2022-05-07 00:00:00,60477993.14,non-ITS
2022-05-07 00:00:00,0.0,ITS
2022-05-08 00:00:00,0.0,ITS
2022-05-08 00:00:00,57129843.75,non-ITS
2022-05-09 00:00:00,52805073.22,non-ITS
2022-05-09 00:00:00,0.0,ITS
2022-05-10 00:00:00,0.0,ITS
2022-05-10 00:00:00,39471395.98,non-ITS
2022-05-11 00:00:00,0.0,ITS
2022-05-11 00:00:00,31608614.2,non-ITS
2022-05-12 00:00:00,34345151.15,non-ITS
2022-05-12 00:00:00,0.0,ITS
2022-05-13 00:00:00,0.0,ITS
2022-05-13 00:00:00,31107318.13,non-ITS
2022-05-14 00:00:00,0.0,ITS
2022-05-14 00:00:00,32358953.69,non-ITS
2022-05-15 00:00:00,34838322.09,non-ITS
2022-05-15 00:00:00,0.0,ITS
2022-05-16 00:00:00,38525605.64,non-ITS
2022-05-16 00:00:00,0.0,ITS
2022-05-17 00:00:00,0.0,ITS
2022-05-17 00:00:00,42480134.71,non-ITS
2022-05-18 00:00:00,44510779.93,non-ITS
2022-05-18 00:00:00,0.0,ITS
2022-05-19 00:00:00,47470307.66,non-ITS
2022-05-19 00:00:00,0.0,ITS
2022-05-20 00:00:00,0.0,ITS
2022-05-20 00:00:00,60941329.7,non-ITS
2022-05-21 00:00:00,62113099.48,non-ITS
2022-05-21 00:00:00,0.0,ITS
2022-05-22 00:00:00,64657164.91,non-ITS
2022-05-22 00:00:00,0.0,ITS
2022-05-23 00:00:00,66953518.3,non-ITS
2022-05-23 00:00:00,0.0,ITS
2022-05-24 00:00:00,0.0,ITS
2022-05-24 00:00:00,69123597.19,non-ITS
2022-05-25 00:00:00,0.0,ITS
2022-05-25 00:00:00,73269064.76,non-ITS
2022-05-26 00:00:00,77139591.64,non-ITS
2022-05-26 00:00:00,0.0,ITS
2022-05-27 00:00:00,0.0,ITS
2022-05-27 00:00:00,85864865.03,non-ITS
2022-05-28 00:00:00,0.0,ITS
2022-05-28 00:00:00,87906873.56,non-ITS
2022-05-29 00:00:00,87668240.23,non-ITS
2022-05-29 00:00:00,0.0,ITS
2022-05-30 00:00:00,0.0,ITS
2022-05-30 00:00:00,89104297.91,non-ITS
2022-05-31 00:00:00,89789086.35,non-ITS
2022-05-31 00:00:00,0.0,ITS
2022-06-01 00:00:00,0.0,ITS
2022-06-01 00:00:00,90615011.62,non-ITS
2022-06-02 00:00:00,0.0,ITS
2022-06-02 00:00:00,90584470.03,non-ITS
2022-06-03 00:00:00,0.0,ITS
2022-06-03 00:00:00,91996417.19,non-ITS
2022-06-04 00:00:00,0.0,ITS
2022-06-04 00:00:00,92415483.25,non-ITS
2022-06-05 00:00:00,0.0,ITS
2022-06-05 00:00:00,93795130.46,non-ITS
2022-06-06 00:00:00,94519364.99,non-ITS
